1556668800000,5270.35000000,5346.35000000,5257.00000000,5306.38000000,905.75395600,1556755199999,4799791.90419549,7877,362.11365800,1919626.52528884,0
1556755200000,5307.42000000,5500.00000000,5286.81000000,5385.01000000,828.70168600,1556841599999,4445388.73207345,7401,337.03766500,1812295.19460604,0
1556841600000,5385.01000000,5781.50000000,5359.50000000,5653.38000000,2130.49459900,1556927999999,11984420.43106584,17792,975.78305800,5493793.91185371,0
1556928000000,5656.67000000,5838.41000000,5490.00000000,5768.00000000,1711.08704400,1557014399999,9725210.21755572,12832,710.29354100,4035336.55881537,0
1557014400000,5765.40000000,5777.19000000,5614.30000000,5727.42000000,848.51735300,1557100799999,4850687.84331272,8021,337.48912200,1928854.52938120,0
1557100800000,5717.54000000,5752.68000000,5552.66000000,5688.98000000,1253.21744700,1557187199999,7074222.33682182,11029,592.95121700,3342004.43465865,0
1557187200000,5690.67000000,5963.99000000,5690.67000000,5737.78000000,1816.92997500,1557273599999,10628905.80649748,13619,859.36526500,5028682.80306029,0
1557273600000,5738.36000000,5972.88000000,5650.00000000,5939.56000000,869.36238000,1557359999999,5059661.36813349,9103,426.47024000,2485070.77430318,0
1557360000000,5939.53000000,6170.00000000,5905.75000000,6145.71000000,1069.61689800,1557446399999,6463644.63871249,10344,615.82671000,3719732.09550991,0
1557446400000,6148.00000000,6422.00000000,6091.00000000,6322.42000000,1231.22370300,1557532799999,7727434.75984873,14170,567.10371900,3556542.46465521,0
1557532800000,6324.92000000,7349.00000000,6150.00000000,7030.50000000,2203.08279100,1557619199999,15016262.82347196,26773,1045.57309400,7121244.46727517,0
1557619200000,7035.02000000,7515.00000000,6740.15000000,6944.42000000,3177.60377200,1557705599999,22454884.57073961,36869,1226.15080200,8674727.57825453,0
1557705600000,6943.89000000,8200.00000000,6820.00000000,7800.43000000,2423.67938400,1557791999999,18388805.52229177,24872,1228.25001700,9322919.42068794,0
1557792000000,7800.11000000,8350.00000000,7590.01000000,7973.98000000,2455.57804300,1557878399999,19617586.98030399,35019,1143.26641700,9138789.58334620,0
1557878400000,7973.98000000,8308.76000000,7866.18000000,8212.64000000,1452.22875600,1557964799999,11741904.22868660,25854,612.71792200,4958195.09200147,0
1557964800000,8202.65000000,8392.99000000,7665.60000000,7870.00000000,2235.11619100,1558051199999,17869848.50999017,41143,1079.81696000,8630487.61415370,0
1558051200000,7870.00000000,7939.62000000,6911.10000000,7366.80000000,2904.23019600,1558137599999,21104717.05272363,48422,1333.59867400,9689398.03491827,0
1558137600000,7362.39000000,7499.06000000,7203.56000000,7266.67000000,1052.24767400,1558223999999,7706256.97496310,17812,463.17271600,3392271.12890723,0
1558224000000,7266.67000000,8309.98000000,7246.38000000,8198.28000000,3360.63588400,1558310399999,26587944.45966152,36333,1890.91240400,14939713.36775492,0
1558310400000,8206.26000000,8216.54000000,7511.75000000,7995.67000000,2462.96917400,1558396799999,19478716.94818584,33412,1243.05112400,9831949.06123059,0
1558396800000,8000.11000000,8122.86000000,7800.01000000,7950.02000000,1323.44802600,1558483199999,10534016.61606368,23816,636.56994600,5064138.19716975,0
1558483200000,7950.02000000,8027.99000000,7522.21000000,7621.68000000,1887.44987300,1558569599999,14753151.54929197,25886,924.09002900,7220706.11358415,0
1558569600000,7621.40000000,7980.00000000,7451.00000000,7876.12000000,1399.45425500,1558655999999,10794575.71520864,22643,681.03862400,5240632.88502908,0
1558656000000,7883.26000000,8174.37000000,7749.99000000,8005.06000000,1284.31999600,1558742399999,10282940.64564069,22916,642.06698800,5148002.48672828,0
1558742400000,8005.70000000,8145.00000000,7950.00000000,8067.32000000,835.32884900,1558828799999,6721905.29759182,14055,385.51598800,3103729.25989585,0
1558828800000,8069.26000000,8870.00000000,7900.00000000,8736.00000000,2365.65291700,1558915199999,19628140.35888535,28518,958.77666500,7978984.36267241,0
1558915200000,8736.00000000,8943.20000000,8500.00000000,8785.11000000,1738.74579900,1559001599999,15245238.45485204,29025,895.29334300,7845343.19429129,0
1559001600000,8784.80000000,8818.50000000,8459.00000000,8732.86000000,908.39260800,1559087999999,7919255.31073118,18304,456.75132000,3983929.66466259,0
1559088000000,8727.09000000,8776.12000000,8400.00000000,8678.24000000,1101.60502300,1559174399999,9501964.58831326,18874,615.42758500,5308298.06577389,0
1559174400000,8675.92000000,9090.88000000,7908.00000000,8288.40000000,3140.49370300,1559260799999,26759432.67734694,40940,1825.84317600,15550651.71935636,0
1559260800000,8279.22000000,8593.22000000,8100.00000000,8567.70000000,1293.40712600,1559347199999,10784467.05352195,21487,585.69297400,4887117.43003089,0
